hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457659.52486,bh,V,8.957,0.02,1002.811,18.452
2458192.79259,bh,V,8.831,0.02,1125.566,20.71
2457932.59983,bh,V,8.746,0.02,1218.078,22.413
2457829.88043,bh,V,8.743,0.02,1220.457,22.456
2457812.77773,bh,V,9.038,0.02,930.863,17.128
2457996.46945,bh,V,8.765,0.02,1196.518,22.016
2458347.5125,bh,V,8.737,0.02,1228.058,22.596
2458188.86357,bh,V,8.768,0.02,1193.177,21.954
2457786.87504,bh,V,9.027,0.02,940.21,17.3
2458309.77209,bh,V,8.904,0.02,1052.511,19.366
2458233.65306,bh,V,8.867,0.02,1089.005,20.038
2458226.80935,bh,V,8.827,0.02,1130.006,20.792
2458220.83691,bh,V,8.846,0.02,1110.479,20.433
2458187.81695,bh,V,8.811,0.02,1147.26,21.11
2457983.60879,bh,V,8.828,0.02,1129.354,20.78
2457957.65121,bh,V,8.777,0.02,1183.43,21.775
2457835.78005,bh,V,8.664,0.02,1313.318,24.165
2457605.54931,bh,V,8.959,0.02,1001.078,18.42
2458216.8307,bh,V,8.809,0.02,1148.526,21.133
2457799.80662,bh,V,9.061,0.02,910.864,16.76
2457639.48618,bh,V,8.943,0.02,1015.813,18.691
2457609.48364,bh,V,8.856,0.02,1100.725,20.253
2457864.92143,bh,V,8.778,0.02,1182.084,21.75
2457853.81037,bh,V,8.732,0.02,1233.729,22.701
2457830.80182,bh,V,8.787,0.02,1172.544,21.575
2457672.48664,bh,V,9.049,0.02,921.204,16.95
2458372.56133,bh,V,8.773,0.02,1187.721,21.854
2458305.58289,bh,V,8.822,0.02,1135.167,20.887
2458005.58402,bh,V,8.859,0.02,1096.822,20.182
2458182.76358,bh,V,8.879,0.02,1076.831,19.814
2457951.72921,bh,V,8.72,0.02,1246.638,22.938
2457568.6732,bh,V,8.798,0.02,1160.227,21.348
2457536.69335,bh,V,8.926,0.02,1031.179,18.974
2458351.61101,bh,V,8.794,0.02,1164.779,21.432
2457787.83879,bh,V,9.051,0.02,919.307,16.915
2457905.80707,bh,V,8.721,0.02,1245.542,22.918
2457900.7218,bh,V,8.963,0.02,996.747,18.34
2457783.84849,bh,V,9.051,0.02,919.422,16.917
2458199.88223,bh,V,8.773,0.02,1188.14,21.862
2458196.83137,bh,V,8.773,0.02,1188.254,21.864
2458148.85208,bh,V,8.859,0.02,1097.544,20.195
2457807.78533,bh,V,9.426,0.02,650.699,11.973
2457465.76825,bh,V,8.969,0.02,991.85,18.25
2458244.71626,bh,V,8.861,0.02,1095.382,20.155
2457879.59863,bh,V,8.914,0.02,1042.993,19.191
2458368.59107,bh,V,8.773,0.02,1187.863,21.857
2458303.6002,bh,V,8.811,0.02,1146.36,21.093
2458245.75338,bh,V,8.825,0.02,1132.612,20.84
2457791.88445,bh,V,9.009,0.02,955.597,17.583
2458159.83869,bh,V,8.842,0.02,1114.533,20.507
2458149.84755,bh,V,8.919,0.02,1038.058,19.1
2457890.59202,bh,V,8.767,0.02,1194.534,21.979
2457662.50211,bh,V,9.044,0.02,925.76,17.034
2457575.55209,bh,V,8.912,0.02,1044.895,19.226
2457865.81431,bh,V,8.707,0.02,1262.322,23.227
2457803.8,bh,V,9.019,0.02,947.014,17.425
2457772.86373,bh,V,9.104,0.02,875.762,16.114
2458323.67786,bh,V,8.862,0.02,1094.473,20.138
2458225.8101,bh,V,8.832,0.02,1124.948,20.699
2458161.87543,bh,V,8.832,0.02,1124.646,20.693
2457833.86096,bh,V,8.753,0.02,1210.169,22.267
2458362.62324,bh,V,8.744,0.02,1219.464,22.438
2458023.49723,bh,V,8.804,0.02,1154.112,21.236
2457555.53411,bh,V,8.911,0.02,1045.698,19.241
2458185.81333,bh,V,8.956,0.02,1003.578,18.466
2458019.50068,bh,V,8.773,0.02,1188.208,21.863
2457980.6355,bh,V,8.851,0.02,1105.19,20.336
2457943.65847,bh,V,8.823,0.02,1134.765,20.88
2457479.81473,bh,V,8.978,0.02,982.993,18.087
2457910.71557,bh,V,8.756,0.02,1206.894,22.207
2458356.55336,bh,V,8.752,0.02,1210.408,22.272
2458165.8089,bh,V,8.801,0.02,1157.092,21.29
2457969.56204,bh,V,8.861,0.02,1094.956,20.147
2457566.78222,bh,V,9.009,0.02,955.535,17.582
2458383.54898,bh,V,8.727,0.02,1239.049,22.798
2458367.59092,bh,V,8.708,0.02,1260.958,23.202
2457906.76533,bh,V,8.72,0.02,1246.667,22.939
2457871.69755,bh,V,8.744,0.02,1219.445,22.438
2457869.67258,bh,V,8.746,0.02,1218.047,22.412
2457457.74785,bh,V,8.969,0.02,991.673,18.247
2458319.7331,bh,V,8.839,0.02,1117.791,20.567
2458228.81609,bh,V,9.204,0.02,798.824,14.698
2457817.87727,bh,V,9.026,0.02,940.903,17.313
2457987.55753,bh,V,8.754,0.02,1208.186,22.231
2457878.77731,bh,V,8.745,0.02,1218.819,22.426
2458007.55975,bh,V,8.762,0.02,1200.162,22.083
2457770.86785,bh,V,9.08,0.02,895.512,16.477
2458223.83772,bh,V,8.789,0.02,1170.41,21.536
2458200.85044,bh,V,8.794,0.02,1164.905,21.434
2458170.86588,bh,V,8.85,0.02,1106.114,20.352
2458157.87151,bh,V,8.873,0.02,1083.222,19.931
2458194.80577,bh,V,8.785,0.02,1174.203,21.605
2458189.83673,bh,V,8.797,0.02,1161.622,21.374
2458171.78965,bh,V,8.913,0.02,1044.276,19.215
2457801.8467,bh,V,9.065,0.02,907.634,16.7
2458361.62699,bh,V,8.715,0.02,1252.732,23.05
2458198.83375,bh,V,8.723,0.02,1243.308,22.877
2457851.66855,bh,V,8.772,0.02,1189.045,21.878
2457602.63652,bh,V,9.026,0.02,940.554,17.306
2458150.84348,bh,V,8.942,0.02,1016.214,18.698
2457834.78486,bh,V,8.743,0.02,1221.257,22.471
2458359.62008,bh,V,8.822,0.02,1135.326,20.89
2458028.49917,bh,V,8.832,0.02,1125.133,20.702
2457966.66941,bh,V,8.801,0.02,1157.471,21.297
2457902.62105,bh,V,8.701,0.02,1269.522,23.359
2457827.78648,bh,V,8.984,0.02,978.254,18.0
2457619.60928,bh,V,8.907,0.02,1049.928,19.319
2457557.76551,bh,V,9.006,0.02,957.966,17.627
2457916.63214,bh,V,8.717,0.02,1250.309,23.006
2457822.89357,bh,V,8.985,0.02,977.43,17.985
2458191.78949,bh,V,8.834,0.02,1122.842,20.66
2457975.60646,bh,V,8.827,0.02,1130.238,20.796
2457798.89616,bh,V,9.112,0.02,868.945,15.989
2457769.87202,bh,V,9.141,0.02,846.36,15.573
2458183.78119,bh,V,8.914,0.02,1042.819,19.188
2457845.86735,bh,V,8.751,0.02,1211.513,22.292
2458313.68584,bh,V,8.705,0.02,1264.121,23.26
2457935.73691,bh,V,8.736,0.02,1229.316,22.619
2457889.82607,bh,V,8.816,0.02,1141.347,21.001
2457868.77861,bh,V,9.692,0.02,509.3,9.371
2458243.83776,bh,V,8.925,0.02,1032.489,18.998
2457896.79856,bh,V,8.803,0.02,1155.631,21.264
2457792.8521,bh,V,9.009,0.02,956.044,17.591
2458312.73509,bh,V,8.786,0.02,1173.823,21.598
2458308.77561,bh,V,8.891,0.02,1065.071,19.597
2457567.73301,bh,V,8.86,0.02,1096.601,20.177
2458336.69205,bh,V,8.915,0.02,1041.712,19.168
2458342.67523,bh,V,8.859,0.02,1096.942,20.184
2457914.76859,bh,V,8.825,0.02,1131.684,20.823
2457805.87392,bh,V,8.992,0.02,970.337,17.854
2458240.84705,bh,V,8.825,0.02,1131.947,20.828
2457945.60528,bh,V,8.736,0.02,1228.602,22.606
2457960.59076,bh,V,8.692,0.02,1279.815,23.549
2458345.67109,bh,V,8.803,0.02,1155.76,21.266
2457846.88487,bh,V,8.77,0.02,1191.484,21.923
2458180.79099,bh,V,8.907,0.02,1050.01,19.32
2458174.85929,bh,V,8.845,0.02,1111.858,20.458
2457656.5429,bh,V,8.996,0.02,967.569,17.803
2458203.72716,bh,V,8.851,0.02,1105.52,20.342
2457894.85847,bh,V,8.759,0.02,1202.728,22.13
2457777.87401,bh,V,9.105,0.02,874.415,16.089
2457634.59224,bh,V,8.962,0.02,998.193,18.367
2457622.6048,bh,V,8.855,0.02,1101.798,20.273
2458363.60916,bh,V,8.77,0.02,1191.271,21.919
2458018.51656,bh,V,8.81,0.02,1147.966,21.123
2458371.57665,bh,V,8.8,0.02,1158.078,21.309
2458330.53098,bh,V,8.781,0.02,1179.053,21.695
2457923.68574,bh,V,8.725,0.02,1241.574,22.845
2458306.58689,bh,V,8.789,0.02,1170.326,21.534
2458222.8459,bh,V,8.869,0.02,1087.415,20.008
2457855.71137,bh,V,8.844,0.02,1112.706,20.474
2457874.82476,bh,V,8.693,0.02,1279.079,23.535
2457626.60711,bh,V,8.921,0.02,1036.835,19.078
2457667.50038,bh,V,8.915,0.02,1042.265,19.178
2458229.75833,bh,V,8.91,0.02,1047.08,19.266
2458036.49374,bh,V,8.915,0.02,1041.994,19.173
2458326.67878,bh,V,8.836,0.02,1121.011,20.627
2457850.77681,bh,V,8.712,0.02,1256.257,23.115
2457624.60178,bh,V,9.02,0.02,945.698,17.401
2457934.47625,bh,V,8.752,0.02,1211.326,22.288
2457839.70519,bh,V,8.739,0.02,1225.616,22.551
2458373.54972,bh,V,8.785,0.02,1174.299,21.607
2458214.77994,bh,V,8.799,0.02,1159.779,21.34
2457612.59703,bh,V,8.93,0.02,1027.604,18.908
2458375.5544,bh,V,8.8,0.02,1159.033,21.326
2458331.50807,bh,V,8.811,0.02,1146.904,21.103
2458162.81887,bh,V,8.834,0.02,1122.794,20.659
2457953.73729,bh,V,8.789,0.02,1170.465,21.537
2457844.91418,bh,V,8.74,0.02,1224.749,22.535
2458227.81397,bh,V,8.879,0.02,1077.545,19.827
2458205.75552,bh,V,8.803,0.02,1154.882,21.25
2458173.82607,bh,V,8.828,0.02,1129.352,20.78
2457903.79792,bh,V,8.792,0.02,1167.061,21.474
2457782.85296,bh,V,8.985,0.02,977.375,17.984
2457625.61092,bh,V,8.97,0.02,990.48,18.225
2458360.62433,bh,V,8.782,0.02,1177.683,21.669
2457911.74346,bh,V,8.808,0.02,1150.086,21.162
2457616.64633,bh,V,9.034,0.02,934.042,17.186
2458369.57969,bh,V,8.728,0.02,1238.243,22.784
2458037.49026,bh,V,8.832,0.02,1124.885,20.698
2457652.52635,bh,V,8.871,0.02,1085.58,19.975
2457643.53935,bh,V,9.029,0.02,938.293,17.265
2457476.88841,bh,V,8.928,0.02,1030.104,18.954
2458190.82424,bh,V,8.773,0.02,1187.564,21.851
2457973.61371,bh,V,8.783,0.02,1176.709,21.651
2458186.81722,bh,V,8.819,0.02,1137.953,20.938
2457938.56706,bh,V,8.742,0.02,1222.001,22.485
2457585.64968,bh,V,9.001,0.02,962.981,17.719
2458378.49739,bh,V,8.725,0.02,1241.59,22.845
